,price,lat,long,mc_min,star_min
0,2422.32277526,37.4732407,127.0530892,2.30552218766,0.86641896847
1,1936.82030036,37.4733275,127.0532351,2.29251673746,0.871318687623
2,2244.43528442,37.4739021,127.0541063,2.20966832001,0.902959856552
3,1848.91958909,37.4745812,127.0551887,2.11256963253,0.956926229904
4,1898.7658439,37.4727746,127.0523738,2.37411851904,0.849386396234
5,4805.36089028,37.4939654,127.0750977,1.26622026373,0.737998025668
6,2979.42170104,37.4960876,127.0767362,1.44678954473,0.758947211352
7,1926.81007229,37.4793154,127.0489038,1.85313861176,0.371901718494
8,7921.53843629,37.4841132,127.067294,1.14712080453,1.15392050687
9,7700.2883754,37.478368,127.0614839,1.63367929434,1.44391575986
10,3619.10609254,37.4878994,127.0609236,0.572486814715,0.567577050137
11,3797.01042583,37.4881707,127.0625135,0.562968926816,0.601437567748
12,5065.45910048,37.4888326,127.071487,1.05341234243,0.997781363479
13,5067.83103661,37.4875354,127.0686558,0.925569187013,0.897998821294
14,7208.68797089,37.4855371,127.0714351,1.25657515093,1.22768734487
15,3611.06203505,37.4843872,127.054267,1.12231162322,0.659789548799
16,3445.49160408,37.4848024,127.0571779,0.970898981457,0.643625489832
17,3303.58056473,37.4839447,127.0561699,1.0915278987,0.715578760998
18,3326.51941508,37.4825481,127.0544891,1.29353435313,0.862764194461
19,3665.50858987,37.482369,127.0513673,1.45011984086,0.747703157187
20,3378.95377129,37.4816442,127.0526666,1.4570864946,0.789322506036
21,3373.42765273,37.4813054,127.052897,1.48031487846,0.787241912505
22,1964.52681969,37.4810335,127.0532554,1.49269003148,0.800920106073
23,6672.65370672,37.4785609,127.0542624,1.71121830978,0.809448608494
24,3980.62557961,37.4762642,127.0567424,1.90055436194,1.0384197125
25,2652.24060906,37.5196689,127.0379979,0.481018013683,0.299855809051
26,3495.95472802,37.5193601,127.0366998,0.535199734869,0.352028132065
27,2464.88407072,37.5187232,127.0374942,0.435981348485,0.407050028769
28,2850.40858982,37.5206817,127.037115,0.428924776915,0.201290097094
29,2486.62386303,37.517802,127.0373364,0.391736219281,0.356631487365
30,2632.70918898,37.5184174,127.0380027,0.379731667077,0.351118148157
31,2259.99252895,37.5180203,127.0379207,0.359151469441,0.33379379023
32,2168.55363714,37.5171457,127.0368595,0.405769025953,0.272854006709
33,2149.85491194,37.510383,127.0243029,0.650818227261,0.71429630786
34,1682.35294118,37.507516,127.0280399,0.70521409177,0.534174870332
35,1818.28906124,37.5081832,127.0324786,0.621338145714,0.255940473026
36,2131.32400431,37.5081015,127.0328405,0.639614379012,0.223588880737
37,2601.09160112,37.5074711,127.0307946,0.676204028075,0.408766115845
38,2622.46300201,37.5066597,127.0289875,0.727137887819,0.495466011964
39,2601.74855732,37.5062954,127.0276384,0.667056413805,0.396575187624
40,2014.66024175,37.5065989,127.0283866,0.709327066733,0.459179027828
41,3049.09856657,37.5067547,127.0303436,0.755557343719,0.465961020309
42,3142.14154889,37.5134549,127.0340836,0.31559832885,0.211060415539
43,1881.38852343,37.5129702,127.0340921,0.322611626185,0.225292551349
44,2093.28871188,37.5125829,127.032682,0.219677507017,0.119902818603
45,1745.29763222,37.5124235,127.032252,0.19814162342,0.0963068312565
46,2089.21679093,37.5121468,127.0323585,0.22555166795,0.0660763413374
47,3349.20552853,37.5146969,127.0227423,0.314465574844,0.243208680873
48,4437.929058,37.5096909,127.0334919,0.503173818062,0.234290010333
49,2136.45835518,37.5092605,127.0340901,0.571933217176,0.177441217099
50,2725.31280544,37.5164665,127.0404191,0.0829677955621,0.0738980349025
51,4074.68447743,37.5145526,127.0380907,0.340432076767,0.218263997759
52,3151.50426873,37.5133862,127.0386984,0.392036746837,0.316323728862
